metric,value
mode,audit
row_limit,0
snapshot_regression_enabled,false
total_fields,10738
mapped_strict,1419
mapped_strict_ratio,0.1321
mapped_strong,4017
mapped_strong_ratio,0.3741
mapped_with_review,6873
mapped_with_review_ratio,0.6401
coverage_any_path,7166
coverage_any_path_ratio,0.6673
knowledge_only,293
knowledge_only_ratio,0.0273
unmapped,3572
unmapped_ratio,0.3327
snapshot_count,0
snapshot_avg_exact_target_ratio,0.0000
snapshot_avg_accepted_exact_ratio,0.0000
bucket_direct_alias_match,1382
bucket_description_alias_match,37
bucket_strong_canonical_candidate,2598
bucket_weak_canonical_candidate,2856
bucket_knowledge_only,293
bucket_unmapped,3572
