sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_canonical_matches,top_knowledge_concept_id,top_knowledge_strength,top_knowledge_matches,classification_bucket,review_recommendation
MM,MARA,MANDT,Client,MANDT,MANDT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,contact.role,0.90,contact.role:0.90 | account.id:0.80 | activity id:0.80,client id,1.00,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate,Strong current canonical candidate; review for promotion or alias hardening if needed.
MM,MARA,MATNR,Material Number,MATNR,MATNR,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.erp_material_number,material.number,material.erp_material_number,1.00,material.erp_material_number:1.00 | material.id:1.00 | material.number:1.00,bom header material,1.00,bom header material:1.00 | material id:1.00 | material number:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,ERSDA,Created On,ERSDA,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",document.created_date,,document.created_date,1.00,document.created_date:1.00,created date,1.00,created date:1.00 | document.created_date:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,CREATED_AT_TIME,Time of Creation,CREATED_AT_TIME,TIME,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,document.created_date,0.60,document.created_date:0.60,created date,0.70,created date:0.70,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,ERNAM,Name of Person Responsible for Creating the Object,ERNAM,USNAM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",audit.created_by,,audit.created_by,1.00,audit.created_by:1.00 | contact.name:0.60,audit.created_by,1.00,audit.created_by:1.00 | created by:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,LAEDA,Date of Last Change,LAEDA,DATUM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,AENAM,Name of Person Who Changed Object,AENAM,USNAM,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",audit.changed_by,,audit.changed_by,1.00,audit.changed_by:1.00 | contact.name:0.60,audit.changed_by,1.00,audit.changed_by:1.00 | modified by:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
MM,MARA,VPSTA,Maintenance status of complete material,VPSTA,PSTAT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,product.lifecycle_status,0.60,product.lifecycle_status:0.60,,,,weak_canonical_candidate,Weak current canonical candidate; requires steward review before treating as mapped.
MM,MARA,PSTAT,Maintenance status,PSTAT_D,PSTAT,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",,,,,,,,,unmapped,No current knowledge or canonical path was found; candidate for SAP ingest enrichment or canonical gap review.
MM,MARA,LVORM,Flag Material for Deletion at Client Level,LVOMA,XFELD,"Material Master — General Data Cross-plant material master (material type MTART, units, BMEINS). MM Materials Mgmt",material.deletion_mark,,material.deletion_mark,1.00,material.deletion_mark:1.00,deletion mark,1.00,deletion mark:1.00 | material.deletion_mark:1.00,direct_alias_match,Already maps directly to an existing canonical concept via SAP field alias.
