scope,scope_value,total_rows,classification_bucket,row_count,ratio
overall,ALL,10738,description_alias_match,37,0.0034
overall,ALL,10738,direct_alias_match,1382,0.1287
overall,ALL,10738,knowledge_only,293,0.0273
overall,ALL,10738,strong_canonical_candidate,2598,0.2419
overall,ALL,10738,unmapped,3572,0.3327
overall,ALL,10738,weak_canonical_candidate,2856,0.2660
module,CO,382,direct_alias_match,54,0.1414
module,CO,382,knowledge_only,7,0.0183
module,CO,382,strong_canonical_candidate,180,0.4712
module,CO,382,unmapped,95,0.2487
module,CO,382,weak_canonical_candidate,46,0.1204
module,FI,1809,description_alias_match,4,0.0022
module,FI,1809,direct_alias_match,241,0.1332
module,FI,1809,knowledge_only,45,0.0249
module,FI,1809,strong_canonical_candidate,284,0.1570
module,FI,1809,unmapped,618,0.3416
module,FI,1809,weak_canonical_candidate,617,0.3411
module,HR,718,description_alias_match,14,0.0195
module,HR,718,direct_alias_match,99,0.1379
module,HR,718,knowledge_only,18,0.0251
module,HR,718,strong_canonical_candidate,343,0.4777
module,HR,718,unmapped,138,0.1922
module,HR,718,weak_canonical_candidate,106,0.1476
module,MM,1963,description_alias_match,1,0.0005
module,MM,1963,direct_alias_match,245,0.1248
module,MM,1963,knowledge_only,70,0.0357
module,MM,1963,strong_canonical_candidate,376,0.1915
module,MM,1963,unmapped,720,0.3668
module,MM,1963,weak_canonical_candidate,551,0.2807
module,PM,202,direct_alias_match,30,0.1485
module,PM,202,knowledge_only,2,0.0099
module,PM,202,strong_canonical_candidate,61,0.3020
module,PM,202,unmapped,72,0.3564
module,PM,202,weak_canonical_candidate,37,0.1832
module,PP,1235,description_alias_match,5,0.0040
module,PP,1235,direct_alias_match,140,0.1134
module,PP,1235,knowledge_only,13,0.0105
module,PP,1235,strong_canonical_candidate,228,0.1846
module,PP,1235,unmapped,547,0.4429
module,PP,1235,weak_canonical_candidate,302,0.2445
module,S/4HANA,1235,description_alias_match,2,0.0016
module,S/4HANA,1235,direct_alias_match,161,0.1304
module,S/4HANA,1235,knowledge_only,23,0.0186
module,S/4HANA,1235,strong_canonical_candidate,359,0.2907
module,S/4HANA,1235,unmapped,330,0.2672
module,S/4HANA,1235,weak_canonical_candidate,360,0.2915
module,SD,2449,description_alias_match,8,0.0033
module,SD,2449,direct_alias_match,291,0.1188
module,SD,2449,knowledge_only,67,0.0274
module,SD,2449,strong_canonical_candidate,584,0.2385
module,SD,2449,unmapped,758,0.3095
module,SD,2449,weak_canonical_candidate,741,0.3026
module,UNKNOWN,745,description_alias_match,3,0.0040
module,UNKNOWN,745,direct_alias_match,121,0.1624
module,UNKNOWN,745,knowledge_only,48,0.0644
module,UNKNOWN,745,strong_canonical_candidate,183,0.2456
module,UNKNOWN,745,unmapped,294,0.3946
module,UNKNOWN,745,weak_canonical_candidate,96,0.1289
