priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
11,P1,SD,KNA1,/SAPCEM/DBER,Planning Area,knowledge_only,,,sap_knowledge_available.planning_area,sap_knowledge_available.planning_area:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/SAPCEM/KVMEQ,Indicator: Settlement Qty Relevant to Equipment,knowledge_only,,,sap_knowledge_available.indicator_settlement_qty_relevant_to_equipment,sap_knowledge_available.indicator_settlement_qty_relevant_to_equipment:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_I_NO_LYR,Number Layers Under an Inter-Pallet (VSO),knowledge_only,,,sap_knowledge_available.number_layers_under_an_inter_pallet_vso,sap_knowledge_available.number_layers_under_an_inter_pallet_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_LOAD_PREF,Front/Back Preference of Loading/Unloading (VSO),knowledge_only,,,sap_knowledge_available.front_back_preference_of_loading_unloading_vso,sap_knowledge_available.front_back_preference_of_loading_unloading_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_MATPAL,Packaging Material of the Customer in VSO,knowledge_only,,,sap_knowledge_available.packaging_material_of_the_customer_in_vso,sap_knowledge_available.packaging_material_of_the_customer_in_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_ONE_MAT,Packing Material-Specific for Each Packaging Material,knowledge_only,,,sap_knowledge_available.packing_material_specific_for_each_packaging_material,sap_knowledge_available.packing_material_specific_for_each_packaging_material:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_ONE_SORT,Pack Only One Package Type for Each PKM (VSO),knowledge_only,,,sap_knowledge_available.pack_only_one_package_type_for_each_pkm_vso,sap_knowledge_available.pack_only_one_package_type_for_each_pkm_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_PALHGT,Maximum Stacking Height of the Packaging Material (VSO),knowledge_only,,,sap_knowledge_available.maximum_stacking_height_of_the_packaging_material_vso,sap_knowledge_available.maximum_stacking_height_of_the_packaging_material_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_PK_MAT,Customer-Related Packing for Each Packaging Material (VSO),knowledge_only,,,sap_knowledge_available.customer_related_packing_for_each_packaging_material_vso,sap_knowledge_available.customer_related_packing_for_each_packaging_material_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,/VSO/R_ULD_SIDE,Side Preference of Loading/Unloading (VSO),knowledge_only,,,sap_knowledge_available.side_preference_of_loading_unloading_vso,sap_knowledge_available.side_preference_of_loading_unloading_vso:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,B2C_INDICATOR,Taiwan: B2C Invoicing in Business Partner Extension,knowledge_only,,,sap_knowledge_available.taiwan_b2c_invoicing_in_business_partner_extension,sap_knowledge_available.taiwan_b2c_invoicing_in_business_partner_extension:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,BAHNE,Express train station,knowledge_only,,,sap_knowledge_available.express_train_station,sap_knowledge_available.express_train_station:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,BAHNS,Train station,knowledge_only,,,sap_knowledge_available.train_station,sap_knowledge_available.train_station:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,BONDED_AREA_CONFIRM,Taiwan: Bonded Area Confirm in Business Partner Extension,knowledge_only,,,sap_knowledge_available.taiwan_bonded_area_confirm_in_business_partner_extension,sap_knowledge_available.taiwan_bonded_area_confirm_in_business_partner_extension:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,BUBKZ,Check digit for the international location number,knowledge_only,,,sap_knowledge_available.check_digit_for_the_international_location_number,sap_knowledge_available.check_digit_for_the_international_location_number:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CASSD,Central sales block for customer,knowledge_only,,,sap_knowledge_available.central_sales_block_for_customer,sap_knowledge_available.central_sales_block_for_customer:1.00 | sap_knowledge_available.sales_block_for_customer_sales_area:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CCC01,Indicator for biochemical warfare for legal control,knowledge_only,,,sap_knowledge_available.indicator_for_biochemical_warfare_for_legal_control,sap_knowledge_available.indicator_for_biochemical_warfare_for_legal_control:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CCC02,Indicator for nuclear nonproliferation for legal control,knowledge_only,,,sap_knowledge_available.indicator_for_nuclear_nonproliferation_for_legal_control,sap_knowledge_available.indicator_for_nuclear_nonproliferation_for_legal_control:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CCC03,Indicator for national security for legal control,knowledge_only,,,sap_knowledge_available.indicator_for_national_security_for_legal_control,sap_knowledge_available.indicator_for_national_security_for_legal_control:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CCC04,Indicator for missile technology for legal control,knowledge_only,,,sap_knowledge_available.indicator_for_missile_technology_for_legal_control,sap_knowledge_available.indicator_for_missile_technology_for_legal_control:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CFOPC,Customer's CFOP category,knowledge_only,,,sap_knowledge_available.customer_s_cfop_category,sap_knowledge_available.customer_s_cfop_category:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CITYC,City Code,knowledge_only,,,sap_knowledge_available.city_code,sap_knowledge_available.city_code:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CNAE,CNAE,knowledge_only,,,sap_knowledge_available.cnae,sap_knowledge_available.cnae:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,COAUFNR,Order Number,knowledge_only,,,sap_knowledge_available.order_number,sap_knowledge_available.order_number:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,COMSIZE,Company Size,knowledge_only,,,sap_knowledge_available.company_size,sap_knowledge_available.company_size:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CONFS,Status of Change Authorization (Central),knowledge_only,,,sap_knowledge_available.status_of_change_authorization_central,sap_knowledge_available.status_of_change_authorization_central:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CONSOLIDATE_INVOICE,Consolidated Invoicing for Taiwan,knowledge_only,,,sap_knowledge_available.consolidated_invoicing_for_taiwan,sap_knowledge_available.consolidated_invoicing_for_taiwan:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,COUNC,County Code,knowledge_only,,,sap_knowledge_available.county_code,sap_knowledge_available.county_code:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,CRTN,CRT Number,knowledge_only,,,carton number,carton number:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DEAR1,Indicator: Competitor,knowledge_only,,,sap_knowledge_available.indicator_competitor,sap_knowledge_available.indicator_competitor:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DEAR2,Indicator: Sales partner,knowledge_only,,,sap_knowledge_available.indicator_sales_partner,sap_knowledge_available.indicator_sales_partner:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DEAR3,Indicator: Sales prospect,knowledge_only,,,sap_knowledge_available.indicator_sales_prospect,sap_knowledge_available.indicator_sales_prospect:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DEAR6,Indicator: Consumer,knowledge_only,,,sap_knowledge_available.indicator_consumer,sap_knowledge_available.indicator_consumer:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DECREGPC,Declaration Regimen for PIS/COFINS,knowledge_only,,,sap_knowledge_available.declaration_regimen_for_pis_cofins,sap_knowledge_available.declaration_regimen_for_pis_cofins:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DELIVERY_DATE_RULE,Delivery Date Rule,knowledge_only,,,delivery date,delivery date:0.70,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DONATE_MARK,Taiwan: Donate Mark in Business Partner Extension,knowledge_only,,,sap_knowledge_available.taiwan_donate_mark_in_business_partner_extension,sap_knowledge_available.taiwan_donate_mark_in_business_partner_extension:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DTAMS,Recipient Code for Data Medium Exchange,knowledge_only,,,sap_knowledge_available.recipient_code_for_data_medium_exchange,sap_knowledge_available.recipient_code_for_data_medium_exchange:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,DUNS4,DUNS+4,knowledge_only,,,sap_knowledge_available.duns_4,sap_knowledge_available.duns_4:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,EINVOICE_MODE,Taiwan: Mode in Business Partner Extension,knowledge_only,,,sap_knowledge_available.taiwan_mode_in_business_partner_extension,sap_knowledge_available.taiwan_mode_in_business_partner_extension:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,EXABL,Indicator: Unloading points exist,knowledge_only,,,sap_knowledge_available.indicator_unloading_points_exist,sap_knowledge_available.indicator_unloading_points_exist:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,EXP,Issued by,knowledge_only,,,sap_knowledge_available.issued_by,sap_knowledge_available.issued_by:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,FAKSD,Central billing block for customer,knowledge_only,,,sap_knowledge_available.billing_block_for_customer_sales_and_distribution,sap_knowledge_available.billing_block_for_customer_sales_and_distribution:1.00 | sap_knowledge_available.central_billing_block_for_customer:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,FEE_SCHEDULE,Fee schedule,knowledge_only,,,sap_knowledge_available.fee_schedule,sap_knowledge_available.fee_schedule:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,GFORM,Legal status,knowledge_only,,,sap_knowledge_available.legal_status,sap_knowledge_available.legal_status:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,GST_TDS,GST TDS Registration,knowledge_only,,,sap_knowledge_available.gst_tds_registration,sap_knowledge_available.gst_tds_registration:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,HZUOR,Assignment to Hierarchy,knowledge_only,,,sap_knowledge_available.assignment_to_hierarchy,sap_knowledge_available.assignment_to_hierarchy:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,ICMSTAXPAY,ICMS Taxpayer,knowledge_only,,,sap_knowledge_available.icms_taxpayer,sap_knowledge_available.icms_taxpayer:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,INDTYP,Industry Main Type,knowledge_only,,,sap_knowledge_available.industry_main_type,sap_knowledge_available.industry_main_type:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,INSPATDEBI,Inspection for a Delivery Note After Outbound Delivery,knowledge_only,,,delivery instructions,delivery instructions:0.55,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,JMJAH,Year for which the number of employees is given,knowledge_only,,,number of employees,number of employees:0.55,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,JMZAH,Yearly number of employees,knowledge_only,,,number of employees,number of employees:0.55,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1IEXCD,ECC Number,knowledge_only,,,sap_knowledge_available.ecc_number,sap_knowledge_available.ecc_number:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1IEXCICU,Excise tax indicator for customer,knowledge_only,,,sap_knowledge_available.excise_tax_indicator_for_customer,sap_knowledge_available.excise_tax_indicator_for_customer:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1IEXCO,Excise Commissionerate,knowledge_only,,,sap_knowledge_available.excise_commissionerate,sap_knowledge_available.excise_commissionerate:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1IEXDI,Excise Division,knowledge_only,,,sap_knowledge_available.excise_division,sap_knowledge_available.excise_division:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1IEXRG,Excise Range,knowledge_only,,,sap_knowledge_available.excise_range,sap_knowledge_available.excise_range:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1KFREPRE,Name of Representative,knowledge_only,,,sap_knowledge_available.name_of_representative,sap_knowledge_available.name_of_representative:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_1KFTIND,Type of Industry,knowledge_only,,,sap_knowledge_available.type_of_industry,sap_knowledge_available.type_of_industry:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GAABRECH,Date of Current Settlement,knowledge_only,,,sap_knowledge_available.date_of_current_settlement,sap_knowledge_available.date_of_current_settlement:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GABRART,Settlement Type,knowledge_only,,,sap_knowledge_available.settlement_type,sap_knowledge_available.settlement_type:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GABRKEN,Settlement Indicator,knowledge_only,,,sap_knowledge_available.settlement_indicator,sap_knowledge_available.settlement_indicator:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GAGDUMI,Dummy Recipient,knowledge_only,,,sap_knowledge_available.dummy_recipient,sap_knowledge_available.dummy_recipient:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GAGINT,Customer Internal Settlement,knowledge_only,,,sap_knowledge_available.customer_internal_settlement,sap_knowledge_available.customer_internal_settlement:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GAGSTDI,Standard Recipient,knowledge_only,,,sap_knowledge_available.standard_recipient,sap_knowledge_available.standard_recipient:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GBLSPER,Blocking Indicator for Document Entry,knowledge_only,,,sap_knowledge_available.blocking_indicator_for_document_entry,sap_knowledge_available.blocking_indicator_for_document_entry:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GEMINBE,Minimum Usage Period for Restricted Usage (Days),knowledge_only,,,sap_knowledge_available.minimum_usage_period_for_restricted_usage_days,sap_knowledge_available.minimum_usage_period_for_restricted_usage_days:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GETYP,Recipient Type,knowledge_only,,,sap_knowledge_available.recipient_type,sap_knowledge_available.recipient_type:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GFMGUE,Release Notification Allowance for Unrestricted Usage (Days),knowledge_only,,,sap_knowledge_available.release_notification_allowance_for_unrestricted_usage_days,sap_knowledge_available.release_notification_allowance_for_unrestricted_usage_days:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GFRISTLO,Indicator: Deadline Logic,knowledge_only,,,sap_knowledge_available.indicator_deadline_logic,sap_knowledge_available.indicator_deadline_logic:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GINVSTA,Status of Construction Site Inventory,knowledge_only,,,sap_knowledge_available.status_of_construction_site_inventory,sap_knowledge_available.status_of_construction_site_inventory:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GKEINSA,Indicator - Relevant to Short Operation Periods,knowledge_only,,,sap_knowledge_available.indicator_relevant_to_short_operation_periods,sap_knowledge_available.indicator_relevant_to_short_operation_periods:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GKLEIVO,Indicator: Calculate PBE as TBE,knowledge_only,,,sap_knowledge_available.indicator_calculate_pbe_as_tbe,sap_knowledge_available.indicator_calculate_pbe_as_tbe:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GLABRECH,Date of Last Settlement,knowledge_only,,,sap_knowledge_available.date_of_last_settlement,sap_knowledge_available.date_of_last_settlement:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GMASCHB,"""Fill PBE Documents"" Indicator",knowledge_only,,,sap_knowledge_available.fill_pbe_documents_indicator,sap_knowledge_available.fill_pbe_documents_indicator:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GNEGMEN,Negative Quantities Allowed Even for Chronolog. Inv. Mgmt,knowledge_only,,,sap_knowledge_available.negative_quantities_allowed_even_for_chronolog_inv_mgmt,sap_knowledge_available.negative_quantities_allowed_even_for_chronolog_inv_mgmt:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GSTDMON,Hours per Month,knowledge_only,,,sap_knowledge_available.hours_per_month,sap_knowledge_available.hours_per_month:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GSTDTAG,Hours per Day,knowledge_only,,,sap_knowledge_available.hours_per_day,sap_knowledge_available.hours_per_day:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GVMONAT,Indicator for Complete Month,knowledge_only,,,sap_knowledge_available.indicator_for_complete_month,sap_knowledge_available.indicator_for_complete_month:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GZUGTAG,Function for Settlement on Acquisition Date/PBE,knowledge_only,,,sap_knowledge_available.function_for_settlement_on_acquisition_date_pbe,sap_knowledge_available.function_for_settlement_on_acquisition_date_pbe:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GZUSCHUE,Surcharge for Unrestricted Usage (Days),knowledge_only,,,sap_knowledge_available.surcharge_for_unrestricted_usage_days,sap_knowledge_available.surcharge_for_unrestricted_usage_days:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,J_3GZUTVHLG,Ind.: Acquisition Date Counts (as Daily Settlement for PBE),knowledge_only,,,sap_knowledge_available.ind_acquisition_date_counts_as_daily_settlement_for_pbe,sap_knowledge_available.ind_acquisition_date_counts_as_daily_settlement_for_pbe:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR1,Attribute 1,knowledge_only,,,sap_knowledge_available.attribute_1,sap_knowledge_available.attribute_1:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR10,Attribute 10,knowledge_only,,,sap_knowledge_available.attribute_10,sap_knowledge_available.attribute_10:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR2,Attribute 2,knowledge_only,,,sap_knowledge_available.attribute_2,sap_knowledge_available.attribute_2:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR3,Attribute 3,knowledge_only,,,sap_knowledge_available.attribute_3,sap_knowledge_available.attribute_3:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR4,Attribute 4,knowledge_only,,,sap_knowledge_available.attribute_4,sap_knowledge_available.attribute_4:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR5,Attribute 5,knowledge_only,,,sap_knowledge_available.attribute_5,sap_knowledge_available.attribute_5:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR6,Attribute 6,knowledge_only,,,sap_knowledge_available.attribute_6,sap_knowledge_available.attribute_6:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR7,Attribute 7,knowledge_only,,,sap_knowledge_available.attribute_7,sap_knowledge_available.attribute_7:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR8,Attribute 8,knowledge_only,,,sap_knowledge_available.attribute_8,sap_knowledge_available.attribute_8:1.00,promote_new_canonical_concept_or_attach_to_existing
11,P1,SD,KNA1,KATR9,Attribute 9,knowledge_only,,,sap_knowledge_available.attribute_9,sap_knowledge_available.attribute_9:1.00,promote_new_canonical_concept_or_attach_to_existing
