sap_module,module_total,classification_bucket,row_count,ratio
SD,2158,knowledge_only,67,0.0310
SD,2158,strong_canonical_candidate,584,0.2706
SD,2158,weak_canonical_candidate,741,0.3434
SD,2158,unmapped,758,0.3513
SD,2158,description_alias_match,8,0.0037
MM,1718,knowledge_only,70,0.0407
MM,1718,strong_canonical_candidate,376,0.2189
MM,1718,weak_canonical_candidate,551,0.3207
MM,1718,unmapped,720,0.4191
MM,1718,description_alias_match,1,0.0006
FI,1568,knowledge_only,45,0.0287
FI,1568,strong_canonical_candidate,284,0.1811
FI,1568,weak_canonical_candidate,617,0.3935
FI,1568,unmapped,618,0.3941
FI,1568,description_alias_match,4,0.0026
PP,1095,knowledge_only,13,0.0119
PP,1095,strong_canonical_candidate,228,0.2082
PP,1095,weak_canonical_candidate,302,0.2758
PP,1095,unmapped,547,0.4995
PP,1095,description_alias_match,5,0.0046
S/4HANA,1074,knowledge_only,23,0.0214
S/4HANA,1074,strong_canonical_candidate,359,0.3343
S/4HANA,1074,weak_canonical_candidate,360,0.3352
S/4HANA,1074,unmapped,330,0.3073
S/4HANA,1074,description_alias_match,2,0.0019
UNKNOWN,624,knowledge_only,48,0.0769
UNKNOWN,624,strong_canonical_candidate,183,0.2933
UNKNOWN,624,weak_canonical_candidate,96,0.1538
UNKNOWN,624,unmapped,294,0.4712
UNKNOWN,624,description_alias_match,3,0.0048
HR,619,knowledge_only,18,0.0291
HR,619,strong_canonical_candidate,343,0.5541
HR,619,weak_canonical_candidate,106,0.1712
HR,619,unmapped,138,0.2229
HR,619,description_alias_match,14,0.0226
CO,328,knowledge_only,7,0.0213
CO,328,strong_canonical_candidate,180,0.5488
CO,328,weak_canonical_candidate,46,0.1402
CO,328,unmapped,95,0.2896
PM,172,knowledge_only,2,0.0116
PM,172,strong_canonical_candidate,61,0.3547
PM,172,weak_canonical_candidate,37,0.2151
PM,172,unmapped,72,0.4186
