sap_module,sap_table,sap_field,sap_description,classification_bucket,description_canonical_concept_id,top_canonical_concept_id,top_canonical_matches,top_knowledge_matches,review_reason
MM,MARA,MANDT,Client,strong_canonical_candidate,,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id:1.00 | primary key:1.00 | record id:1.00,strong_canonical_candidate
MM,MARA,CREATED_AT_TIME,Time of Creation,weak_canonical_candidate,,document.created_date,document.created_date:0.60,created date:0.70,weak_canonical_candidate
MM,MARA,LAEDA,Date of Last Change,unmapped,,,,,unmapped
MM,MARA,VPSTA,Maintenance status of complete material,weak_canonical_candidate,,product.lifecycle_status,product.lifecycle_status:0.60,,weak_canonical_candidate
MM,MARA,PSTAT,Maintenance status,unmapped,,,,,unmapped
MM,MARA,MBRSH,Industry Sector,unmapped,,,,,unmapped
MM,MARA,BSTME,Purchase Order Unit of Measure,weak_canonical_candidate,,material.base_uom_code,material.base_uom_code:0.60 | order_unit.code:0.60 | uom.code:0.60,purchase unit:1.00 | unit of measure:0.55,weak_canonical_candidate
MM,MARA,ZEIAR,Document type (without Document Management system),weak_canonical_candidate,,document.type,document.type:0.60 | purchase_order.document_type:0.50,document type:0.55 | po type:0.55,weak_canonical_candidate
MM,MARA,ZEIVR,Document version (without Document Management system),weak_canonical_candidate,,version.number,version.number:0.50,document version:0.55,weak_canonical_candidate
MM,MARA,ZEIFO,Page format of document (without Document Management system),unmapped,,,,,unmapped
MM,MARA,AESZN,Document change number (without document management system),weak_canonical_candidate,,account.owner_employee_id,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate
MM,MARA,BLATT,Page number of document (without Document Management system),weak_canonical_candidate,,account.owner_employee_id,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate
MM,MARA,BLANZ,Number of sheets (without Document Management system),weak_canonical_candidate,,account.owner_employee_id,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,account.owner_employee_id:0.55 | document number:0.55,weak_canonical_candidate
MM,MARA,FERTH,Production/inspection memo,unmapped,,,,,unmapped
MM,MARA,FORMT,Page Format of Production Memo,unmapped,,,,,unmapped
MM,MARA,GROES,Size/dimensions,knowledge_only,,,,size:1.00,knowledge_only
MM,MARA,WRKST,Basic Material,unmapped,,,,,unmapped
MM,MARA,NORMT,Industry Standard Description (such as ANSI or ISO),unmapped,,,,,unmapped
MM,MARA,LABOR,Laboratory/design office,unmapped,,,,,unmapped
MM,MARA,EKWSL,Purchasing Value Key,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | invoice.amount:0.60,activity id:0.55 | company.id:0.55 | gross amount:0.55,weak_canonical_candidate
MM,MARA,BEHVO,Container requirements,unmapped,,,,,unmapped
MM,MARA,RAUBE,Storage conditions,knowledge_only,,,,storage conditions:0.90,knowledge_only
MM,MARA,TEMPB,Temperature conditions indicator,unmapped,,,,,unmapped
MM,MARA,DISST,Low-Level Code,unmapped,,,,,unmapped
MM,MARA,TRAGR,Transportation Group,unmapped,,,,,unmapped
MM,MARA,STOFF,Hazardous material number,weak_canonical_candidate,,material.number,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,hazardous material:0.55 | material number:0.55,weak_canonical_candidate
MM,MARA,EANNR,European Article Number (EAN) - obsolete!!!!!,weak_canonical_candidate,,material.number,material.number:0.60,,weak_canonical_candidate
MM,MARA,WESCH,Quantity: Number of GR/GI slips to be printed,weak_canonical_candidate,,goods_receipt.quantity,goods_receipt.quantity:0.60,,weak_canonical_candidate
MM,MARA,BWVOR,Procurement rule,unmapped,,,,,unmapped
MM,MARA,BWSCL,Source of Supply,unmapped,,,,,unmapped
MM,MARA,SAISO,Season Category,unmapped,,,,,unmapped
MM,MARA,ETIAR,Label type,unmapped,,,,,unmapped
MM,MARA,ETIFO,Label form,unmapped,,,,,unmapped
MM,MARA,ENTAR,Deactivated,unmapped,,,,,unmapped
MM,MARA,EAN11,International Article Number (EAN/UPC),weak_canonical_candidate,,material.number,material.number:0.60,barcode:1.00 | ean:1.00,weak_canonical_candidate
MM,MARA,NUMTP,Category of International Article Number (EAN),weak_canonical_candidate,,material.number,material.number:0.60,,weak_canonical_candidate
MM,MARA,BREIT,Width,knowledge_only,,,,width:1.00,knowledge_only
MM,MARA,HOEHE,Height,knowledge_only,,,,height:1.00,knowledge_only
MM,MARA,MEABM,Unit of Dimension for Length/Width/Height,unmapped,,,,,unmapped
MM,MARA,AEKLK,Stock Transfer Net Change Costing,knowledge_only,,,,stock transfer:0.55,knowledge_only
MM,MARA,CADKZ,CAD Indicator,unmapped,,,,,unmapped
MM,MARA,QMPUR,QM in Procurement Is Active,weak_canonical_candidate,,account.status,account.status:0.60,active flag:0.55 | is active:0.55,weak_canonical_candidate
MM,MARA,ERGEW,Allowed packaging weight,unmapped,,,,,unmapped
MM,MARA,ERGEI,Unit of weight (allowed packaging weight),weak_canonical_candidate,,handling_unit.id,handling_unit.id:0.60 | material.weight_unit_code:0.60,weight unit:0.55,weak_canonical_candidate
MM,MARA,ERVOL,Allowed packaging volume,unmapped,,,,,unmapped
MM,MARA,ERVOE,Volume unit (allowed packaging volume),weak_canonical_candidate,,handling_unit.id,handling_unit.id:0.60 | volume.unit_code:0.60,volume unit:0.55,weak_canonical_candidate
MM,MARA,GEWTO,Excess Weight Tolerance for Handling unit,weak_canonical_candidate,,material.weight_unit_code,material.weight_unit_code:0.60,handling unit:0.55 | license plate number:0.55 | weight unit:0.55,weak_canonical_candidate
MM,MARA,VOLTO,Excess Volume Tolerance of the Handling Unit,weak_canonical_candidate,,volume.unit_code,volume.unit_code:0.60,handling unit:0.55 | license plate number:0.55 | volume unit:0.55,weak_canonical_candidate
MM,MARA,VABME,Variable Purchase Order Unit Active,weak_canonical_candidate,,order_unit.code,order_unit.code:0.60,purchase unit:0.55,weak_canonical_candidate
MM,MARA,KZREV,Revision Level Has Been Assigned to the Material,weak_canonical_candidate,,material.drawing_revision,material.drawing_revision:0.60 | account.owner_employee_id:0.50,account owner:0.55,weak_canonical_candidate
MM,MARA,KZKFG,Configurable Material,unmapped,,,,,unmapped
MM,MARA,VHART,Packaging Material Type,weak_canonical_candidate,,material.type_code,material.type_code:0.60,material type:0.55,weak_canonical_candidate
MM,MARA,FUELG,Maximum level (by volume),unmapped,,,,,unmapped
MM,MARA,STFAK,Stacking factor,unmapped,,,,,unmapped
MM,MARA,MAGRV,Material Group: Packaging Materials,weak_canonical_candidate,,material.raw_material_group_id,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group:0.55,weak_canonical_candidate
MM,MARA,BEGRU,Authorization Group,unmapped,,,,,unmapped
MM,MARA,LIQDT,Deletion date,unmapped,,,,,unmapped
MM,MARA,SAISJ,Season Year,unmapped,,,,,unmapped
MM,MARA,PLGTP,Price Band Category,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
MM,MARA,MLGUT,Empties Bill of Material,unmapped,,,,,unmapped
MM,MARA,EXTWG,External Material Group,weak_canonical_candidate,,material.raw_material_group_id,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group:0.55,weak_canonical_candidate
MM,MARA,SATNR,Cross-Plant Configurable Material,unmapped,,,,,unmapped
MM,MARA,ATTYP,Material Category,unmapped,,,,,unmapped
MM,MARA,KZKUP,Co-Product,unmapped,,,,,unmapped
MM,MARA,KZNFM,Indicator: The material has a follow-up material,unmapped,,,,,unmapped
MM,MARA,PMATA,Pricing Reference Material,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | material.id:0.60,activity id:0.55 | company.id:0.55 | material id:0.55,weak_canonical_candidate
MM,MARA,MSTAE,Cross-Plant Material Status,weak_canonical_candidate,,product.lifecycle_status,product.lifecycle_status:0.60,,weak_canonical_candidate
MM,MARA,MSTAV,Cross-distribution-chain material status,weak_canonical_candidate,,product.lifecycle_status,product.lifecycle_status:0.60,,weak_canonical_candidate
MM,MARA,MSTDE,Date from which the cross-plant material status is valid,weak_canonical_candidate,,account.status,account.status:0.60 | product.lifecycle_status:0.60 | quote.valid_from_date:0.60,account.status:0.55 | address valid from:0.55 | leave from:0.55,weak_canonical_candidate
MM,MARA,MSTDV,Date from which the X-distr.-chain material status is valid,weak_canonical_candidate,,account.status,account.status:0.60 | product.lifecycle_status:0.60 | quote.valid_from_date:0.60,account.status:0.55 | address valid from:0.55 | leave from:0.55,weak_canonical_candidate
MM,MARA,TAKLV,Tax classification of the material,unmapped,,,,,unmapped
MM,MARA,RBNRM,Catalog Profile,unmapped,,,,,unmapped
MM,MARA,MHDRZ,Minimum Remaining Shelf Life,knowledge_only,,,,shelf life:0.55,knowledge_only
MM,MARA,MHDHB,Total shelf life,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,shelf life:1.00 | gross amount:0.55 | invoice amount:0.55,weak_canonical_candidate
MM,MARA,MHDLP,Storage percentage,unmapped,,,,,unmapped
MM,MARA,INHME,Content unit,unmapped,,,,,unmapped
MM,MARA,INHAL,Net contents,unmapped,,,,,unmapped
MM,MARA,VPREH,Comparison price unit,weak_canonical_candidate,,invoice.amount,invoice.amount:0.60 | price.unit:0.60 | price_unit_quantity:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
MM,MARA,ETIAG,IS-R Labeling: material grouping (deactivated in 4.0),unmapped,,,,,unmapped
MM,MARA,INHBR,Gross contents,unmapped,,,,,unmapped
MM,MARA,CMETH,Quantity Conversion Method,unmapped,,,,,unmapped
MM,MARA,CUOBF,Internal object number,unmapped,,,,,unmapped
MM,MARA,KZUMW,Environmentally Relevant,unmapped,,,,,unmapped
MM,MARA,KOSCH,Product allocation determination procedure,unmapped,,,,,unmapped
MM,MARA,SPROF,Pricing profile for variants,unmapped,,,,,unmapped
MM,MARA,NRFHG,Material qualifies for discount in kind,unmapped,,,,,unmapped
MM,MARA,BMATN,Number of firm's own (internal) inventory-managed material,weak_canonical_candidate,,material.number,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,material number:0.55,weak_canonical_candidate
MM,MARA,MPROF,Mfr part profile,unmapped,,,,,unmapped
MM,MARA,KZWSM,Units of measure usage,unmapped,,,,,unmapped
MM,MARA,SAITY,Rollout in a Season,unmapped,,,,,unmapped
MM,MARA,PROFL,Dangerous Goods Indicator Profile,knowledge_only,,,,hazardous material:0.55,knowledge_only
MM,MARA,IHIVI,Indicator: Highly Viscous,unmapped,,,,,unmapped
MM,MARA,ILOOS,Indicator: In Bulk/Liquid,unmapped,,,,,unmapped
MM,MARA,SERLV,Level of Explicitness for Serial Number,weak_canonical_candidate,,asset.serial_number,asset.serial_number:0.60,serial number:0.55,weak_canonical_candidate
MM,MARA,KZGVH,Packaging Material is Closed Packaging,unmapped,,,,,unmapped
MM,MARA,XGCHP,Approved Batch Record Required,unmapped,,,,,unmapped
MM,MARA,KZEFF,Assign effectivity parameter values/ override change numbers,unmapped,,,,,unmapped
MM,MARA,COMPL,Material completion level,unmapped,,,,,unmapped
MM,MARA,IPRKZ,Period Indicator for Shelf Life Expiration Date,weak_canonical_candidate,,employee.national_id,employee.national_id:0.60 | inventory_lot.expiration_date:0.60 | account.owner_employee_id:0.50,employee.national_id:0.55 | expiry date:0.55 | shelf life:0.55,weak_canonical_candidate
MM,MARA,RDMHD,Rounding rule for calculation of SLED,unmapped,,,,,unmapped
MM,MARA,PRZUS,Indicator: Product composition printed on packaging,unmapped,,,,,unmapped
MM,MARA,MTPOS_MARA,General item category group,weak_canonical_candidate,,product.category,product.category:0.60,,weak_canonical_candidate
MM,MARA,BFLME,Generic Material with Logistical Variants,unmapped,,,,,unmapped
MM,MARA,MATFI,Material Is Locked,knowledge_only,,,,locked:0.55,knowledge_only
MM,MARA,CMREL,Relevant for Configuration Management,unmapped,,,,,unmapped
MM,MARA,BBTYP,Assortment List Type,unmapped,,,,,unmapped
MM,MARA,GTIN_VARIANT,Global Trade Item Number Variant,weak_canonical_candidate,,material.number,material.number:0.60,gtin:0.55,weak_canonical_candidate
MM,MARA,GENNR,Material Number of the Generic Material in Prepack Materials,weak_canonical_candidate,,material.number,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,material number:0.55,weak_canonical_candidate
MM,MARA,RMATP,Reference material for materials packed in same way,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | material.id:0.60,activity id:0.55 | company.id:0.55 | material id:0.55,weak_canonical_candidate
MM,MARA,GDS_RELEVANT,Indicator: Global Data Synchronization-Relevant,unmapped,,,,,unmapped
MM,MARA,WEORA,Acceptance At Origin,unmapped,,,,,unmapped
MM,MARA,HUTYP_DFLT,Standard HU Type,unmapped,,,,,unmapped
MM,MARA,PILFERABLE,Pilferable,unmapped,,,,,unmapped
MM,MARA,WHSTC,Warehouse Storage Condition,unmapped,,,,,unmapped
MM,MARA,WHMATGR,Warehouse Material Group,weak_canonical_candidate,,material.raw_material_group_id,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group:0.55,weak_canonical_candidate
MM,MARA,HNDLCODE,Handling Indicator,unmapped,,,,,unmapped
MM,MARA,HAZMAT,Relevant for Hazardous Substances,knowledge_only,,,,hazardous material:1.00,knowledge_only
MM,MARA,HUTYP,Handling Unit Type,knowledge_only,,,,handling unit:0.55 | license plate number:0.55,knowledge_only
MM,MARA,TARE_VAR,Variable Tare Weight,unmapped,,,,,unmapped
MM,MARA,MAXC,Maximum Allowed Capacity of Packaging Material,unmapped,,,,,unmapped
MM,MARA,MAXC_TOL,Overcapacity Tolerance of the Handling Unit,knowledge_only,,,,handling unit:0.55 | license plate number:0.55,knowledge_only
MM,MARA,MAXL,Maximum Packing Length of Packaging Material,unmapped,,,,,unmapped
MM,MARA,MAXB,Maximum Packing Width of Packaging Material,unmapped,,,,,unmapped
MM,MARA,MAXH,Maximum Packing Height of Packaging Material,unmapped,,,,,unmapped
MM,MARA,MAXDIM_UOM,Unit of Measure for Maximum Packing Length/Width/Height,weak_canonical_candidate,,material.base_uom_code,material.base_uom_code:0.60 | uom.code:0.60,unit of measure:0.55,weak_canonical_candidate
MM,MARA,MFRGR,Material freight group,weak_canonical_candidate,,material.raw_material_group_id,material.raw_material_group_id:0.60 | material_group.id:0.60 | product.category:0.50,material group:0.55,weak_canonical_candidate
MM,MARA,QQTIME,Quarantine Period,unmapped,,,,,unmapped
MM,MARA,QQTIMEUOM,Time Unit for Quarantine Period,unmapped,,,,,unmapped
MM,MARA,QGRP,Quality Inspection Group,unmapped,,,,,unmapped
MM,MARA,SERIAL,Serial Number Profile,weak_canonical_candidate,,asset.serial_number,asset.serial_number:0.60,serial number:1.00,weak_canonical_candidate
MM,MARA,PS_SMARTFORM,Form Name,unmapped,,,,,unmapped
MM,MARA,LOGUNIT,EWM CW: Logistics Unit of Measure,weak_canonical_candidate,,material.base_uom_code,material.base_uom_code:0.60 | uom.code:0.60,unit of measure:0.55,weak_canonical_candidate
MM,MARA,CWQREL,EWM CW: Material Is a Catch Weight Material,weak_canonical_candidate,,material.gross_weight,material.gross_weight:0.60,,weak_canonical_candidate
MM,MARA,CWQPROC,EWM CW: Catch Weight Profile for Entering CW Quantity,unmapped,,,,,unmapped
MM,MARA,CWQTOLGR,Catch Weight Tolerance Group,unmapped,,,,,unmapped
MM,MARA,ADPROF,Adjustment Profile,unmapped,,,,,unmapped
MM,MARA,IPMIPPRODUCT,ID for an Intellectual Property (CRM Product),weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | product.id:0.60,activity id:0.55 | company.id:0.55 | component:0.55,weak_canonical_candidate
MM,MARA,ALLOW_PMAT_IGNO,Variant Price Allowed (for Material Master),weak_canonical_candidate,,invoice.amount,invoice.amount:0.60,gross amount:0.55 | invoice amount:0.55 | po total:0.55,weak_canonical_candidate
MM,MARA,MEDIUM,Medium,knowledge_only,,,,channel:1.00,knowledge_only
MM,MARA,COMMODITY,Commodity,unmapped,,,,,unmapped
MM,MARA,ANIMAL_ORIGIN,Indicator: Contains Non-Textile Parts of Animal Origin,unmapped,,,,,unmapped
MM,MARA,TEXTILE_COMP_IND,Indicator: New Textile Composition Function,unmapped,,,,,unmapped
MM,MARA,LAST_CHANGED_TIME,Time of Last Change,strong_canonical_candidate,,document.changed_date,document.changed_date:0.75,document.changed_date:0.70,strong_canonical_candidate
MM,MARA,MATNR_EXTERNAL,External Representation of Material Number,weak_canonical_candidate,,material.number,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,material number:0.55,weak_canonical_candidate
MM,MARA,CHML_CMPLNC_RLVNCE_IND,Chemical Compliance Relevance Indicator,unmapped,,,,,unmapped
MM,MARA,LOGISTICAL_MAT_CATEGORY,Category of a Logistical Material,unmapped,,,,,unmapped
MM,MARA,SALES_MATERIAL,Material Number of a Sales Material,weak_canonical_candidate,,material.number,material.number:0.60 | material.erp_material_number:0.50 | material.id:0.50,material number:0.55,weak_canonical_candidate
MM,MARA,IDENTIFICATION_TAG_TYPE,Identification Tag Type,unmapped,,,,,unmapped
MM,MARA,PRODUCTOID,Data element for OID of product,unmapped,,,,,unmapped
MM,MARA,SDM_VERSION,Silent Data migration status from MARA table,unmapped,,,,,unmapped
MM,MARA,SGT_CSGR,Segmentation Structure,unmapped,,,,,unmapped
MM,MARA,SGT_COVSA,Segmentation Strategy,unmapped,,,,,unmapped
MM,MARA,SGT_STAT,Segmentation Material Master Status,weak_canonical_candidate,,product.lifecycle_status,product.lifecycle_status:0.60,,weak_canonical_candidate
MM,MARA,SGT_SCOPE,Segmentation Strategy Scope,unmapped,,,,,unmapped
MM,MARA,SGT_REL,Segmentation Relevant,unmapped,,,,,unmapped
MM,MARA,ANP,ANP Code,unmapped,,,,,unmapped
MM,MARA,PSM_CODE,Code of Protected Species Management,unmapped,,,,,unmapped
MM,MARA,FSH_MG_AT1,Fashion Information Field: 1,unmapped,,,,,unmapped
MM,MARA,FSH_MG_AT2,Fashion Information Field: 2,unmapped,,,,,unmapped
MM,MARA,FSH_MG_AT3,Fashion Information Field: 3,unmapped,,,,,unmapped
MM,MARA,FSH_SEALV,Indicator: Use of Season,unmapped,,,,,unmapped
MM,MARA,FSH_SEAIM,Indicator: Season Active in Inventory Management,unmapped,,,,,unmapped
MM,MARA,FSH_SC_MID,Material Conversion ID for Characteristic Value Conversion,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | invoice.amount:0.60,activity id:0.55 | company.id:0.55 | gross amount:0.55,weak_canonical_candidate
MM,MARA,DUMMY_PRD_INCL_EEW_PS,Dummy Field,unmapped,,,,,unmapped
MM,MARA,SCM_MATID_GUID16,Internal Key for Product,weak_canonical_candidate,,activity id,activity id:0.60 | company.id:0.60 | product.id:0.60,activity id:0.55 | company.id:0.55 | component:0.55,weak_canonical_candidate
MM,MARA,SCM_MATID_GUID22,Internal Number (UID) for Product,weak_canonical_candidate,,product.id,product.id:0.60 | supplier.tax_registration_id:0.60,,weak_canonical_candidate
MM,MARA,SCM_MATURITY_DUR,Maturation Time,unmapped,,,,,unmapped
MM,MARA,SCM_SHLF_LFE_REQ_MIN,Obsolete. Use /SAPAPO/MATKEY-/SAPAPO/SHELF_LIFE_REQ_MIN.,knowledge_only,,,,shelf life:0.55,knowledge_only
MM,MARA,SCM_SHLF_LFE_REQ_MAX,Required Maximum Shelf Life,knowledge_only,,,,shelf life:0.55,knowledge_only
MM,MARA,SCM_PUOM,Preferred Alternative UoM for Warehouse Operations,unmapped,,,,,unmapped
